uf;ano;estupro;estupro_vulneravel;populacao;taxa_estupro_por_100k;taxa_estupro_vulneravel_por_100k;cobertura_inse;fonte_crime;estupro_feminino;estupro_masculino;estupro_nao_informado;estupro_vulneravel_feminino;estupro_vulneravel_masculino;estupro_vulneravel_nao_informado;renda_per_capita;taxa_desemprego;gini;area_km2;densidade_demografica
AC;2016;0;0;816687,0;0,0;0,0;0;SINESP;0,0;0,0;0,0;0,0;0,0;0,0;1110,0;;0,564;164064,761;4,9778331131083045
AC;2017;0;0;829619,0;0,0;0,0;0;SINESP;0,0;0,0;0,0;0,0;0,0;0,0;1122,0;;0,547;164064,761;5,056655645876326
AC;2018;83;213;869265,0;9,548296549383675;24,50345981950268;0;SINESP;75,0;8,0;0,0;183,0;28,0;2,0;1202,0;13,72;0,559;164064,761;5,298304125161892
AC;2019;139;238;881935,0;15,760798698316773;26,98611575683016;1;SINESP;128,0;10,0;1,0;209,0;27,0;2,0;1202,0;14,72;0,56;164064,761;5,375529727556791
AC;2020;102;300;894470,0;11,403400896620344;33,539414401824544;0;SINESP;93,0;8,0;1,0;262,0;27,0;11,0;;13,7;0,515;164064,761;5,451932484148744
AC;2021;145;489;906876,0;15,98895549115866;53,92137403570058;1;SINESP;134,0;9,0;2,0;444,0;26,0;19,0;1157,0;;0,539;164064,761;5,527548965862328
AC;2022;297;443;830018,0;35,782356527207845;53,37233650354571;0;SINESP;257,0;16,0;24,0;404,0;39,0;0,0;1171,0;10,53;0,523;164064,761;5,059087612360585
AC;2023;282;459;830018,0;33,975166803611486;55,30000554204848;0;SINESP;263,0;6,0;13,0;408,0;43,0;8,0;1135,0;7,95;0,51;164064,761;5,059087612360585
AC;2024;210;560;880631,0;23,846537312449826;63,59076616653287;0;SINESP;189,0;19,0;2,0;509,0;48,0;3,0;1277,0;7,7;0,502;164064,761;5,367581646615753
AC;2025;123;482;884372,0;13,908174388153403;54,50195166739789;0;SINESP;121,0;2,0;0,0;453,0;28,0;1,0;;7,33;0,509;164064,761;5,390383618088469
AC;2026;40;120;;;;0;SINESP;39,0;1,0;0,0;106,0;14,0;0,0;;;;164064,761;
AL;2016;160;500;3358963,0;4,763374886832633;14,885546521351976;0;SINESP;153,0;7,0;0,0;401,0;99,0;0,0;930,0;;0,523;27830,662;120,69288901571944
AL;2017;247;573;3375823,0;7,316734319305248;16,973638724542134;0;SINESP;228,0;19,0;0,0;484,0;89,0;0,0;898,0;;0,525;27830,662;121,2986956616411
AL;2018;186;591;3322820,0;5,597655003882244;17,786097351045196;0;SINESP;169,0;16,0;1,0;503,0;85,0;3,0;975,0;17,27;0,55;27830,662;119,39421347577
AL;2019;207;598;3337357,0;6,202512946622133;17,91837073468616;1;SINESP;192,0;15,0;0,0;525,0;69,0;4,0;921,0;15,1;0,525;27830,662;119,9165510328141
AL;2020;165;690;3351543,0;4,92310556660022;20,5875323694191;0;SINESP;156,0;9,0;0,0;593,0;91,0;6,0;;16,8;0,509;27830,662;120,42627660096625
AL;2021;248;686;3365351,0;7,369216465087891;20,384203609073765;1;SINESP;232,0;15,0;1,0;589,0;91,0;6,0;1001,0;;0,526;27830,662;120,92242002723472
AL;2022;247;857;3127683,0;7,897219763000278;27,400475048142667;0;SINESP;238,0;8,0;1,0;762,0;89,0;6,0;1102,0;10,27;0,498;27830,662;112,38263035209152
AL;2023;245;928;3127683,0;7,83327466370473;29,67052607313465;0;SINESP;235,0;9,0;1,0;810,0;108,0;10,0;1140,0;9,55;0,486;27830,662;112,38263035209152
AL;2024;303;1019;3220104,0;9,40963397455486;31,644940660301657;0;SINESP;269,0;25,0;9,0;859,0;128,0;32,0;1303,0;8,5;0,516;27830,662;115,70346404264475
AL;2025;206;643;3220848,0;6,395831159992649;19,9636865819188;0;SINESP;187,0;17,0;2,0;540,0;93,0;10,0;;8,05;0,512;27830,662;115,73019714730464
AL;2026;55;165;;;;0;SINESP;50,0;5,0;0,0;140,0;23,0;2,0;;;;27830,662;
AM;2016;393;673;4001667,0;9,820907136950677;16,817991102208154;0;SINESP;335,0;32,0;26,0;533,0;97,0;43,0;974,0;;0,559;1558704,331;2,567303445825865
AM;2017;364;666;4063614,0;8,957543703708078;16,389351941399948;0;SINESP;318,0;36,0;10,0;536,0;110,0;20,0;1167,0;;0,592;1558704,331;2,607046069726998
AM;2018;300;701;4080611,0;7,351840202361852;17,17879993951886;0;SINESP;280,0;19,0;1,0;587,0;109,0;5,0;1051,0;14,03;0,545;1558704,331;2,6179506394147563
AM;2019;292;709;4144597,0;7,04531707184076;17,106608917585955;1;SINESP;270,0;21,0;1,0;609,0;100,0;0,0;1053,0;14,18;0,567;1558704,331;2,6590014010809853
AM;2020;233;665;4207714,0;5,537448600356393;15,80430609114593;0;SINESP;223,0;10,0;0,0;587,0;77,0;1,0;;14,7;0,533;1558704,331;2,6994946484177054
