uf,ano,gini
AC,2016,0.564
AC,2017,0.547
AC,2018,0.559
AC,2019,0.56
AC,2020,0.515
AC,2021,0.539
AC,2022,0.523
AC,2023,0.51
AC,2024,0.502
AC,2025,0.509
AL,2016,0.523
AL,2017,0.525
AL,2018,0.55
AL,2019,0.525
AL,2020,0.509
AL,2021,0.526
AL,2022,0.498
AL,2023,0.486
AL,2024,0.516
AL,2025,0.512
AM,2016,0.559
AM,2017,0.592
AM,2018,0.545
AM,2019,0.567
AM,2020,0.533
AM,2021,0.541
AM,2022,0.509
AM,2023,0.511
AM,2024,0.474
AM,2025,0.488
AP,2016,0.554
AP,2017,0.589
AP,2018,0.548
AP,2019,0.513
AP,2020,0.5
AP,2021,0.53
AP,2022,0.531
AP,2023,0.491
AP,2024,0.509
AP,2025,0.496
BA,2016,0.537
BA,2017,0.586
BA,2018,0.548
BA,2019,0.555
BA,2020,0.532
BA,2021,0.543
BA,2022,0.507
BA,2023,0.485
BA,2024,0.477
BA,2025,0.466
CE,2016,0.543
CE,2017,0.547
CE,2018,0.547
CE,2019,0.562
CE,2020,0.542
CE,2021,0.55
CE,2022,0.516
CE,2023,0.51
CE,2024,0.487
CE,2025,0.506
DF,2016,0.579
DF,2017,0.594
DF,2018,0.571
DF,2019,0.554
DF,2020,0.549
DF,2021,0.567
DF,2022,0.536
DF,2023,0.542
DF,2024,0.547
DF,2025,0.57
ES,2016,0.509
ES,2017,0.504
ES,2018,0.507
ES,2019,0.518
ES,2020,0.482
ES,2021,0.507
ES,2022,0.49
ES,2023,0.483
ES,2024,0.48
ES,2025,0.48
GO,2016,0.467
GO,2017,0.477
GO,2018,0.47
GO,2019,0.46
GO,2020,0.445
GO,2021,0.467
GO,2022,0.455
GO,2023,0.472
GO,2024,0.462
GO,2025,0.479
MA,2016,0.517
MA,2017,0.526
MA,2018,0.527
MA,2019,0.531
MA,2020,0.482
MA,2021,0.529
MA,2022,0.49
MA,2023,0.491
MA,2024,0.487
MA,2025,0.491
MG,2016,0.491
MG,2017,0.494
MG,2018,0.492
MG,2019,0.487
MG,2020,0.46
MG,2021,0.486
MG,2022,0.465
MG,2023,0.474
MG,2024,0.447
MG,2025,0.473
MS,2016,0.471
MS,2017,0.465
MS,2018,0.491
MS,2019,0.484
MS,2020,0.47
MS,2021,0.497
MS,2022,0.479
MS,2023,0.476
MS,2024,0.454
MS,2025,0.457
MT,2016,0.454
MT,2017,0.464
MT,2018,0.465
MT,2019,0.456
MT,2020,0.463
MT,2021,0.462
MT,2022,0.45
MT,2023,0.453
MT,2024,0.442
MT,2025,0.439
PA,2016,0.51
PA,2017,0.506
PA,2018,0.561
PA,2019,0.528
PA,2020,0.479
PA,2021,0.528
PA,2022,0.506
PA,2023,0.499
PA,2024,0.49
PA,2025,0.492
PB,2016,0.528
PB,2017,0.549
PB,2018,0.551
PB,2019,0.563
PB,2020,0.515
PB,2021,0.562
PB,2022,0.558
PB,2023,0.561
PB,2024,0.496
PB,2025,0.507
PE,2016,0.567
PE,2017,0.551
PE,2018,0.535
PE,2019,0.573
PE,2020,0.536
PE,2021,0.58
PE,2022,0.514
PE,2023,0.495
PE,2024,0.53
PE,2025,0.52
PI,2016,0.528
PI,2017,0.53
PI,2018,0.53
PI,2019,0.538
PI,2020,0.474
PI,2021,0.515
PI,2022,0.518
PI,2023,0.549
PI,2024,0.493
PI,2025,0.508
PR,2016,0.476
PR,2017,0.48
PR,2018,0.491
PR,2019,0.476
PR,2020,0.46
PR,2021,0.475
PR,2022,0.468
PR,2023,0.461
PR,2024,0.473
PR,2025,0.47
RJ,2016,0.526
RJ,2017,0.519
RJ,2018,0.544
RJ,2019,0.553
RJ,2020,0.549
RJ,2021,0.566
RJ,2022,0.54
RJ,2023,0.539
RJ,2024,0.522
RJ,2025,0.543
RN,2016,0.542
RN,2017,0.523
RN,2018,0.54
RN,2019,0.555
RN,2020,0.513
RN,2021,0.588
RN,2022,0.523
RN,2023,0.53
RN,2024,0.522
RN,2025,0.54
RO,2016,0.465
RO,2017,0.447
RO,2018,0.497
RO,2019,0.472
RO,2020,0.439
RO,2021,0.458
RO,2022,0.446
RO,2023,0.454
RO,2024,0.442
RO,2025,0.458
RR,2016,0.538
RR,2017,0.526
RR,2018,0.567
RR,2019,0.58
RR,2020,0.54
RR,2021,0.597
RR,2022,0.548
RR,2023,0.521
RR,2024,0.53
RR,2025,0.506
RS,2016,0.473
RS,2017,0.481
RS,2018,0.486
RS,2019,0.481
RS,2020,0.475
RS,2021,0.467
RS,2022,0.466
RS,2023,0.465
RS,2024,0.458
RS,2025,0.468
SC,2016,0.422
SC,2017,0.414
SC,2018,0.418
SC,2019,0.422
SC,2020,0.412
SC,2021,0.425
SC,2022,0.419
SC,2023,0.418
SC,2024,0.43
SC,2025,0.425
SE,2016,0.566
SE,2017,0.55
SE,2018,0.576
SE,2019,0.58
SE,2020,0.522
SE,2021,0.566
SE,2022,0.526
SE,2023,0.503
SE,2024,0.498
SE,2025,0.532
SP,2016,0.525
SP,2017,0.526
SP,2018,0.539
SP,2019,0.527
SP,2020,0.522
SP,2021,0.532
SP,2022,0.499
SP,2023,0.503
SP,2024,0.489
SP,2025,0.491
TO,2016,0.49
TO,2017,0.496
TO,2018,0.53
TO,2019,0.531
TO,2020,0.486
TO,2021,0.515
TO,2022,0.507
TO,2023,0.478
TO,2024,0.477
TO,2025,0.472
