uf,ano,renda_per_capita
AC,2016,1110.0
AC,2017,1122.0
AC,2018,1202.0
AC,2019,1202.0
AC,2021,1157.0
AC,2022,1171.0
AC,2023,1135.0
AC,2024,1277.0
AL,2016,930.0
AL,2017,898.0
AL,2018,975.0
AL,2019,921.0
AL,2021,1001.0
AL,2022,1102.0
AL,2023,1140.0
AL,2024,1303.0
AM,2016,974.0
AM,2017,1167.0
AM,2018,1051.0
AM,2019,1053.0
AM,2021,948.0
AM,2022,1154.0
AM,2023,1233.0
AM,2024,1268.0
AP,2016,1253.0
AP,2017,1158.0
AP,2018,1105.0
AP,2019,1132.0
AP,2021,1168.0
AP,2022,1314.0
AP,2023,1447.0
AP,2024,1482.0
BA,2016,1102.0
BA,2017,1200.0
BA,2018,1195.0
BA,2019,1178.0
BA,2021,1055.0
BA,2022,1159.0
BA,2023,1246.0
BA,2024,1340.0
CE,2016,1061.0
CE,2017,1167.0
CE,2018,1213.0
CE,2019,1280.0
CE,2021,1092.0
CE,2022,1166.0
CE,2023,1220.0
CE,2024,1247.0
DF,2016,3223.0
DF,2017,3332.0
DF,2018,3471.0
DF,2019,3314.0
DF,2021,2985.0
DF,2022,3649.0
DF,2023,3444.0
DF,2024,3531.0
ES,2016,1645.0
ES,2017,1677.0
ES,2018,1753.0
ES,2019,1822.0
ES,2021,1725.0
ES,2022,1890.0
ES,2023,1928.0
ES,2024,2071.0
GO,2016,1611.0
GO,2017,1781.0
GO,2018,1735.0
GO,2019,1715.0
GO,2021,1629.0
GO,2022,1913.0
GO,2023,2080.0
GO,2024,2127.0
MA,2016,782.0
MA,2017,857.0
MA,2018,848.0
MA,2019,857.0
MA,2021,789.0
MA,2022,995.0
MA,2023,1019.0
MA,2024,1103.0
MG,2016,1646.0
MG,2017,1745.0
MG,2018,1734.0
MG,2019,1779.0
MG,2021,1658.0
MG,2022,1816.0
MG,2023,1935.0
MG,2024,2001.0
MS,2016,1876.0
MS,2017,1899.0
MS,2018,1969.0
MS,2019,1984.0
MS,2021,1773.0
MS,2022,2226.0
MS,2023,2192.0
MS,2024,2160.0
MT,2016,1621.0
MT,2017,1725.0
MT,2018,1848.0
MT,2019,1831.0
MT,2021,1668.0
MT,2022,2018.0
MT,2023,2100.0
MT,2024,2246.0
PA,2016,960.0
PA,2017,1025.0
PA,2018,1084.0
PA,2019,1085.0
PA,2021,1061.0
PA,2022,1267.0
PA,2023,1330.0
PA,2024,1364.0
PB,2016,1151.0
PB,2017,1250.0
PB,2018,1215.0
PB,2019,1192.0
PB,2021,1047.0
PB,2022,1207.0
PB,2023,1356.0
PB,2024,1409.0
PE,2016,1155.0
PE,2017,1173.0
PE,2018,1184.0
PE,2019,1215.0
PE,2021,1007.0
PE,2022,1207.0
PE,2023,1207.0
PE,2024,1448.0
PI,2016,1061.0
PI,2017,1042.0
PI,2018,1100.0
PI,2019,1062.0
PI,2021,1116.0
PI,2022,1320.0
PI,2023,1341.0
PI,2024,1427.0
PR,2016,1997.0
PR,2017,2052.0
PR,2018,2112.0
PR,2019,2137.0
PR,2021,1914.0
PR,2022,2082.0
PR,2023,2150.0
PR,2024,2391.0
RJ,2016,1911.0
RJ,2017,1981.0
RJ,2018,2153.0
RJ,2019,2322.0
RJ,2021,2096.0
RJ,2022,2293.0
RJ,2023,2348.0
RJ,2024,2399.0
RN,2016,1291.0
RN,2017,1199.0
RN,2018,1259.0
RN,2019,1425.0
RN,2021,1240.0
RN,2022,1359.0
RN,2023,1469.0
RN,2024,1542.0
RO,2016,1272.0
RO,2017,1344.0
RO,2018,1431.0
RO,2019,1478.0
RO,2021,1378.0
RO,2022,1575.0
RO,2023,1575.0
RO,2024,1750.0
RR,2016,1362.0
RR,2017,1446.0
RR,2018,1466.0
RR,2019,1348.0
RR,2021,1243.0
RR,2022,1449.0
RR,2023,1453.0
RR,2024,1630.0
RS,2016,2160.0
RS,2017,2218.0
RS,2018,2208.0
RS,2019,2300.0
RS,2021,2085.0
RS,2022,2385.0
RS,2023,2427.0
RS,2024,2589.0
SC,2016,2033.0
SC,2017,2207.0
SC,2018,2189.0
SC,2019,2243.0
SC,2021,2074.0
SC,2022,2279.0
SC,2023,2369.0
SC,2024,2535.0
SE,2016,1213.0
SE,2017,1157.0
SE,2018,1199.0
SE,2019,1237.0
SE,2021,1200.0
SE,2022,1281.0
SE,2023,1270.0
SE,2024,1480.0
SP,2016,2392.0
SP,2017,2399.0
SP,2018,2496.0
SP,2019,2511.0
SP,2021,2172.0
SP,2022,2453.0
SP,2023,2592.0
SP,2024,2719.0
TO,2016,1244.0
TO,2017,1329.0
TO,2018,1359.0
TO,2019,1339.0
TO,2021,1313.0
TO,2022,1598.0
TO,2023,1656.0
TO,2024,1795.0
