uf,ano,estupro,estupro_vulneravel,estupro_feminino,estupro_vulneravel_feminino,estupro_masculino,estupro_vulneravel_masculino,estupro_nao_informado,estupro_vulneravel_nao_informado,inse,quantidade_alunos_inse,percentual_nivel_1,percentual_nivel_2,percentual_nivel_3,percentual_nivel_4,percentual_nivel_5,percentual_nivel_6,percentual_nivel_7,percentual_nivel_8,populacao,taxa_estupro_por_100k,taxa_estupro_vulneravel_por_100k,cluster_id,perfil,fonte_crime,cobertura_inse,renda_per_capita,taxa_desemprego,gini,area_km2,densidade_demografica
AC,2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,816687.0,0.0,0.0,,,SINESP,nao,1110.0,,0.564,164064.761,4.9778331131083045
AC,2017,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,829619.0,0.0,0.0,,,SINESP,nao,1122.0,,0.547,164064.761,5.056655645876326
AC,2018,83,213,75.0,183.0,8.0,28.0,0.0,2.0,,,,,,,,,,,869265.0,9.548296549383675,24.50345981950268,,,SINESP,nao,1202.0,13.72,0.559,164064.761,5.298304125161892
AC,2019,139,238,128.0,209.0,10.0,27.0,1.0,2.0,4.57,28003.0,1.66,28.0,21.69,18.7,14.1,8.36,6.48,1.02,881935.0,15.760798698316773,26.98611575683016,1.0,Risco observado mais baixo,SINESP,sim,1202.0,14.72,0.56,164064.761,5.375529727556791
AC,2020,102,300,93.0,262.0,8.0,27.0,1.0,11.0,,,,,,,,,,,894470.0,11.403400896620344,33.539414401824544,,,SINESP,nao,,13.7,0.515,164064.761,5.451932484148744
AC,2021,145,489,134.0,444.0,9.0,26.0,2.0,19.0,4.63,23143.0,2.24,23.36,21.19,20.75,15.21,9.32,6.79,1.14,906876.0,15.98895549115866,53.92137403570058,1.0,Risco observado mais baixo,SINESP,sim,1157.0,,0.539,164064.761,5.527548965862328
AC,2022,297,443,257.0,404.0,16.0,39.0,24.0,0.0,,,,,,,,,,,830018.0,35.782356527207845,53.37233650354571,,,SINESP,nao,1171.0,10.53,0.523,164064.761,5.059087612360585
AC,2023,282,459,263.0,408.0,6.0,43.0,13.0,8.0,,,,,,,,,,,830018.0,33.975166803611486,55.30000554204848,,,SINESP,nao,1135.0,7.95,0.51,164064.761,5.059087612360585
AC,2024,210,560,189.0,509.0,19.0,48.0,2.0,3.0,,,,,,,,,,,880631.0,23.846537312449826,63.59076616653287,,,SINESP,nao,1277.0,7.7,0.502,164064.761,5.367581646615753
AC,2025,123,482,121.0,453.0,2.0,28.0,0.0,1.0,,,,,,,,,,,884372.0,13.908174388153403,54.50195166739789,,,SINESP,nao,,7.33,0.509,164064.761,5.390383618088469
AC,2026,40,120,39.0,106.0,1.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,SINESP,nao,,,,164064.761,
AL,2016,160,500,153.0,401.0,7.0,99.0,0.0,0.0,,,,,,,,,,,3358963.0,4.763374886832633,14.885546521351976,,,SINESP,nao,930.0,,0.523,27830.662,120.69288901571943
AL,2017,247,573,228.0,484.0,19.0,89.0,0.0,0.0,,,,,,,,,,,3375823.0,7.316734319305248,16.973638724542134,,,SINESP,nao,898.0,,0.525,27830.662,121.2986956616411
AL,2018,186,591,169.0,503.0,16.0,85.0,1.0,3.0,,,,,,,,,,,3322820.0,5.597655003882244,17.786097351045196,,,SINESP,nao,975.0,17.27,0.55,27830.662,119.39421347577
AL,2019,207,598,192.0,525.0,15.0,69.0,0.0,4.0,4.45,93866.0,4.72,29.48,21.0,18.02,12.46,7.49,5.73,1.11,3337357.0,6.202512946622133,17.91837073468616,1.0,Risco observado mais baixo,SINESP,sim,921.0,15.1,0.525,27830.662,119.9165510328141
AL,2020,165,690,156.0,593.0,9.0,91.0,0.0,6.0,,,,,,,,,,,3351543.0,4.92310556660022,20.5875323694191,,,SINESP,nao,,16.8,0.509,27830.662,120.42627660096623
AL,2021,248,686,232.0,589.0,15.0,91.0,1.0,6.0,4.55,90919.0,3.29,23.22,23.04,21.7,14.65,8.19,5.14,0.77,3365351.0,7.369216465087891,20.384203609073765,1.0,Risco observado mais baixo,SINESP,sim,1001.0,,0.526,27830.662,120.92242002723471
AL,2022,247,857,238.0,762.0,8.0,89.0,1.0,6.0,,,,,,,,,,,3127683.0,7.897219763000278,27.400475048142667,,,SINESP,nao,1102.0,10.27,0.498,27830.662,112.38263035209151
AL,2023,245,928,235.0,810.0,9.0,108.0,1.0,10.0,,,,,,,,,,,3127683.0,7.83327466370473,29.67052607313465,,,SINESP,nao,1140.0,9.55,0.486,27830.662,112.38263035209151
AL,2024,303,1019,269.0,859.0,25.0,128.0,9.0,32.0,,,,,,,,,,,3220104.0,9.40963397455486,31.644940660301657,,,SINESP,nao,1303.0,8.5,0.516,27830.662,115.70346404264477
AL,2025,206,643,187.0,540.0,17.0,93.0,2.0,10.0,,,,,,,,,,,3220848.0,6.395831159992649,19.9636865819188,,,SINESP,nao,,8.05,0.512,27830.662,115.73019714730465
AL,2026,55,165,50.0,140.0,5.0,23.0,0.0,2.0,,,,,,,,,,,,,,,,SINESP,nao,,,,27830.662,
AM,2016,393,673,335.0,533.0,32.0,97.0,26.0,43.0,,,,,,,,,,,4001667.0,9.820907136950677,16.817991102208154,,,SINESP,nao,974.0,,0.559,1558704.331,2.567303445825865
AM,2017,364,666,318.0,536.0,36.0,110.0,10.0,20.0,,,,,,,,,,,4063614.0,8.957543703708078,16.389351941399948,,,SINESP,nao,1167.0,,0.592,1558704.331,2.607046069726998
AM,2018,300,701,280.0,587.0,19.0,109.0,1.0,5.0,,,,,,,,,,,4080611.0,7.351840202361852,17.17879993951886,,,SINESP,nao,1051.0,14.03,0.545,1558704.331,2.6179506394147563
AM,2019,292,709,270.0,609.0,21.0,100.0,1.0,0.0,4.55,143310.0,3.1,27.55,21.76,18.36,12.92,8.0,7.04,1.26,4144597.0,7.04531707184076,17.106608917585955,1.0,Risco observado mais baixo,SINESP,sim,1053.0,14.18,0.567,1558704.331,2.6590014010809853
AM,2020,233,665,223.0,587.0,10.0,77.0,0.0,1.0,,,,,,,,,,,4207714.0,5.537448600356393,15.80430609114593,,,SINESP,nao,,14.7,0.533,1558704.331,2.6994946484177054
AM,2021,218,549,209.0,482.0,8.0,66.0,1.0,1.0,4.57,142430.0,3.87,24.53,20.8,19.71,14.23,8.89,6.78,1.17,4269995.0,5.105392395073062,12.857157912362895,1.0,Risco observado mais baixo,SINESP,sim,948.0,,0.541,1558704.331,2.7394515528551513
AM,2022,278,686,264.0,572.0,13.0,113.0,1.0,1.0,,,,,,,,,,,3941613.0,7.052950150103524,17.40404245673028,,,SINESP,nao,1154.0,10.0,0.509,1558704.331,2.528775292150003
AM,2023,295,791,267.0,684.0,27.0,103.0,1.0,4.0,,,,,,,,,,,3941613.0,7.484245662879638,20.06792650622981,,,SINESP,nao,1233.0,9.65,0.511,1558704.331,2.528775292150003
AM,2024,390,1161,356.0,997.0,29.0,144.0,5.0,20.0,,,,,,,,,,,4281209.0,9.109576290248851,27.11850787943312,,,SINESP,nao,1268.0,8.57,0.474,1558704.331,2.7466459897839344
AM,2025,416,1353,391.0,1178.0,25.0,133.0,0.0,42.0,,,,,,,,,,,4321616.0,9.626028781826058,31.30773303319869,,,SINESP,nao,,8.15,0.488,1558704.331,2.7725694437683575
AM,2026,142,327,131.0,291.0,10.0,31.0,1.0,5.0,,,,,,,,,,,,,,,,SINESP,nao,,,,1558704.331,
AP,2016,454,0,411.0,0.0,39.0,0.0,4.0,0.0,,,,,,,,,,,782295.0,58.03437322237775,0.0,,,SINESP,nao,1253.0,,0.554,142253.88,5.4992876116981835
AP,2017,399,0,0.0,0.0,0.0,0.0,399.0,0.0,,,,,,,,,,,797722.0,50.01742461659576,0.0,,,SINESP,nao,1158.0,,0.589,142253.88,5.6077345658339866
AP,2018,453,0,405.0,0.0,44.0,0.0,4.0,0.0,,,,,,,,,,,829494.0,54.61160659389941,0.0,,,SINESP,nao,1105.0,20.35,0.548,142253.88,5.8310817251522415
AP,2019,196,435,187.0,374.0,8.0,50.0,1.0,11.0,4.69,25435.0,1.58,22.59,22.0,19.93,14.27,9.55,8.54,1.54,845731.0,23.175217651948437,51.43479427855903,1.0,Risco observado mais baixo,SINESP,sim,1132.0,17.55,0.513,142253.88,5.945222724329206
AP,2020,144,400,134.0,346.0,4.0,47.0,6.0,7.0,,,,,,,,,,,861773.0,16.709736786833655,46.41593551898237,,,SINESP,nao,,17.4,0.5,142253.88,6.05799293488515
AP,2021,185,478,179.0,422.0,5.0,52.0,1.0,4.0,4.76,20163.0,1.43,17.6,21.98,22.71,16.25,10.3,8.33,1.39,877613.0,21.07990651916049,54.46592062788496,1.0,Risco observado mais baixo,SINESP,sim,1168.0,,0.53,142253.88,6.169343149023422
AP,2022,162,551,155.0,488.0,5.0,53.0,2.0,10.0,,,,,,,,,,,733759.0,22.07809376103053,75.09277569338161,,,SINESP,nao,1314.0,11.87,0.531,142253.88,5.1580948090835905
AP,2023,170,538,164.0,465.0,6.0,55.0,0.0,18.0,,,,,,,,,,,733759.0,23.16836999614315,73.3210768113236,,,SINESP,nao,1447.0,12.75,0.491,142253.88,5.1580948090835905
AP,2024,174,685,154.0,601.0,13.0,61.0,7.0,23.0,,,,,,,,,,,802837.0,21.673141621524667,85.32242534910573,,,SINESP,nao,1482.0,9.2,0.509,142253.88,5.643691405816137
AP,2025,172,551,163.0,484.0,7.0,50.0,2.0,17.0,,,,,,,,,,,806517.0,21.326270865958183,68.31846073920327,,,SINESP,nao,,8.15,0.496,142253.88,5.669560647484624
AP,2026,39,107,38.0,92.0,1.0,10.0,0.0,5.0,,,,,,,,,,,,,,,,SINESP,nao,,,,142253.88,
BA,2016,893,1987,831.0,1719.0,60.0,266.0,2.0,2.0,,,,,,,,,,,15276566.0,5.845554557221826,13.006849837849684,,,SINESP,nao,1102.0,,0.537,564763.876,27.04947438954116
BA,2017,957,2460,893.0,2125.0,64.0,326.0,0.0,9.0,,,,,,,,,,,15344447.0,6.2367838997391045,16.0318583002698,,,SINESP,nao,1200.0,,0.586,564763.876,27.169667983509623
BA,2018,979,2420,917.0,2125.0,61.0,292.0,1.0,3.0,,,,,,,,,,,14812617.0,6.609230495867139,16.337423697649108,,,SINESP,nao,1195.0,17.23,0.548,564763.876,26.22798240020578
BA,2019,1016,2469,955.0,2112.0,60.0,354.0,1.0,3.0,4.58,380543.0,2.98,24.15,21.54,20.77,14.85,8.63,6.08,1.01,14873064.0,6.831141182475918,16.600479901115197,1.0,Risco observado mais baixo,SINESP,sim,1178.0,17.4,0.555,564763.876,26.335012970978333
BA,2020,859,2273,798.0,1968.0,58.0,297.0,3.0,8.0,,,,,,,,,,,14930634.0,5.753272098157386,15.22373396869818,,,SINESP,nao,,18.9,0.532,564763.876,26.43694937740671
BA,2021,2978,1123,2637.0,988.0,341.0,120.0,0.0,15.0,4.62,337361.0,2.47,20.01,22.98,23.43,16.33,8.74,5.31,0.73,14985284.0,19.872829904324803,7.494018798709455,1.0,Risco observado mais baixo,SINESP,sim,1055.0,,0.543,564763.876,26.53371548147672
BA,2022,1180,3709,1111.0,3251.0,66.0,426.0,3.0,32.0,,,,,,,,,,,14141626.0,8.344160706838096,26.22753564547669,,,SINESP,nao,1159.0,14.63,0.507,564763.876,25.039891184541695
BA,2023,1264,4013,1164.0,3487.0,85.0,457.0,15.0,69.0,,,,,,,,,,,14141626.0,8.938151808002843,28.37721772588244,,,SINESP,nao,1246.0,13.43,0.485,564763.876,25.039891184541695
BA,2024,1294,4227,1189.0,3617.0,92.0,500.0,13.0,110.0,,,,,,,,,,,14850513.0,8.713503701858649,28.46366317446408,,,SINESP,nao,1340.0,11.18,0.477,564763.876,26.29508300916895
BA,2025,1139,3999,1060.0,3373.0,63.0,539.0,16.0,87.0,,,,,,,,,,,14870907.0,7.659250373901203,26.89143305112459,,,SINESP,nao,,9.18,0.466,564763.876,26.331193675708818
BA,2026,275,810,257.0,668.0,17.0,122.0,1.0,20.0,,,,,,,,,,,,,,,,SINESP,nao,,,,564763.876,
CE,2016,527,1143,489.0,948.0,38.0,195.0,0.0,0.0,,,,,,,,,,,8963663.0,5.879292873906572,12.751483405835316,,,SINESP,nao,1061.0,,0.543,148894.44,60.20146219026043
CE,2017,531,1224,482.0,1041.0,49.0,183.0,0.0,0.0,,,,,,,,,,,9020460.0,5.886617755635522,13.569152792651373,,,SINESP,nao,1167.0,,0.547,148894.44,60.582920356193284
CE,2018,468,1322,426.0,1099.0,42.0,223.0,0.0,0.0,,,,,,,,,,,9075649.0,5.156656014352252,14.566451390969396,,,SINESP,nao,1213.0,11.4,0.547,148894.44,60.95357892477382
CE,2019,493,1479,455.0,1294.0,38.0,185.0,0.0,0.0,4.44,282527.0,4.88,29.65,21.09,17.98,12.62,7.39,5.47,0.92,9132078.0,5.398552224367773,16.19565667310332,1.0,Risco observado mais baixo,SINESP,sim,1280.0,11.07,0.562,148894.44,61.33256554106386
CE,2020,357,1455,322.0,1226.0,34.0,229.0,1.0,0.0,,,,,,,,,,,9187103.0,3.885882198120561,15.837419042760269,,,SINESP,nao,,12.4,0.542,148894.44,61.70212265817313
CE,2021,363,1566,333.0,1369.0,29.0,193.0,1.0,4.0,4.53,284549.0,3.32,24.2,23.54,21.26,14.18,7.41,5.17,0.93,9240580.0,3.928324845410137,16.94698817606687,1.0,Risco observado mais baixo,SINESP,sim,1092.0,,0.55,148894.44,62.06128314798054
CE,2022,397,1500,365.0,1323.0,31.0,174.0,1.0,3.0,,,,,,,,,,,8794957.0,4.513950437733806,17.055228354157958,,,SINESP,nao,1166.0,8.93,0.516,148894.44,59.06840443471227
CE,2023,363,1768,330.0,1525.0,29.0,231.0,4.0,12.0,,,,,,,,,,,8794957.0,4.127365261706226,20.10242915343418,,,SINESP,nao,1220.0,9.05,0.51,148894.44,59.06840443471227
CE,2024,349,1679,316.0,1440.0,31.0,231.0,2.0,8.0,,,,,,,,,,,9233656.0,3.7796513103802,18.18348008632767,,,SINESP,nao,1247.0,7.35,0.487,148894.44,62.01478040415747
CE,2025,340,1569,307.0,1328.0,33.0,229.0,0.0,12.0,,,,,,,,,,,9268836.0,3.6682060185335033,16.92769189140902,,,SINESP,nao,,6.5,0.506,148894.44,62.25105517707713
CE,2026,77,301,71.0,270.0,5.0,31.0,1.0,0.0,,,,,,,,,,,,,,,,SINESP,nao,,,,148894.44,
DF,2016,632,0,554.0,0.0,70.0,0.0,8.0,0.0,,,,,,,,,,,2977216.0,21.227885380167244,0.0,,,SINESP,nao,3223.0,,0.579,5760.785,516.8073448323449
DF,2017,805,0,698.0,0.0,103.0,0.0,4.0,0.0,,,,,,,,,,,3039444.0,26.48510714459618,0.0,,,SINESP,nao,3332.0,,0.594,5760.785,527.6093449069875
DF,2018,322,538,289.0,461.0,33.0,77.0,0.0,0.0,,,,,,,,,,,2974703.0,10.824610053507865,18.08583915772432,,,SINESP,nao,3471.0,12.8,0.571,5760.785,516.3711195609626
DF,2019,293,462,268.0,359.0,21.0,103.0,4.0,0.0,5.54,72610.0,0.27,3.97,8.6,16.18,20.61,19.44,24.31,6.62,3015268.0,9.717212533015308,15.32202112714359,0.0,Risco observado mais alto,SINESP,sim,3314.0,13.45,0.554,5760.785,523.4126946240833
DF,2020,271,478,243.0,402.0,28.0,75.0,0.0,1.0,,,,,,,,,,,3055149.0,8.870271138985366,15.645718097546144,,,SINESP,nao,,13.6,0.549,5760.785,530.3355358688095
DF,2021,263,469,232.0,405.0,29.0,62.0,2.0,2.0,5.6,66261.0,0.19,3.03,7.69,15.63,20.98,19.79,24.27,8.42,3094325.0,8.499430408893701,15.156778942095611,0.0,Risco observado mais alto,SINESP,sim,2985.0,,0.567,5760.785,537.1359979586116
DF,2022,252,623,227.0,518.0,24.0,105.0,1.0,0.0,,,,,,,,,,,2817381.0,8.944477158041456,22.11273519626916,,,SINESP,nao,3649.0,10.97,0.536,5760.785,489.06199415531046
DF,2023,327,718,292.0,580.0,35.0,136.0,0.0,2.0,,,,,,,,,,,2817381.0,11.606523931268082,25.484661109022884,,,SINESP,nao,3444.0,9.85,0.542,5760.785,489.06199415531046
DF,2024,333,741,308.0,600.0,25.0,141.0,0.0,0.0,,,,,,,,,,,2982818.0,11.163939603422,24.842280018425527,,,SINESP,nao,3531.0,9.32,0.547,5760.785,517.7797817484943
DF,2025,285,614,266.0,514.0,19.0,100.0,0.0,0.0,,,,,,,,,,,2996899.0,9.509829994270746,20.487844268358728,,,SINESP,nao,,8.17,0.57,5760.785,520.2240666853562
DF,2026,85,151,80.0,126.0,5.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,SINESP,nao,,,,5760.785,
ES,2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,3973697.0,0.0,0.0,,,SINESP,nao,1645.0,,0.509,46074.44,86.24515023948202
ES,2017,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,4016356.0,0.0,0.0,,,SINESP,nao,1677.0,,0.504,46074.44,87.17102150346265
ES,2018,1602,0,1143.0,0.0,173.0,0.0,286.0,0.0,,,,,,,,,,,3972388.0,40.32838685445631,0.0,,,SINESP,nao,1753.0,11.68,0.507,46074.44,86.21673969341786
