uf,ano,estupro,estupro_vulneravel,estupro_feminino,estupro_vulneravel_feminino,estupro_masculino,estupro_vulneravel_masculino,estupro_nao_informado,estupro_vulneravel_nao_informado,inse,quantidade_alunos_inse,percentual_nivel_1,percentual_nivel_2,percentual_nivel_3,percentual_nivel_4,percentual_nivel_5,percentual_nivel_6,percentual_nivel_7,percentual_nivel_8
AC,2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
AC,2017,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
AC,2018,83,213,75.0,183.0,8.0,28.0,0.0,2.0,,,,,,,,,,
AC,2019,139,238,128.0,209.0,10.0,27.0,1.0,2.0,4.57,28003.0,1.66,28.0,21.69,18.7,14.1,8.36,6.48,1.02
AC,2020,102,300,93.0,262.0,8.0,27.0,1.0,11.0,,,,,,,,,,
AC,2021,145,489,134.0,444.0,9.0,26.0,2.0,19.0,4.63,23143.0,2.24,23.36,21.19,20.75,15.21,9.32,6.79,1.14
AC,2022,297,443,257.0,404.0,16.0,39.0,24.0,0.0,,,,,,,,,,
AC,2023,282,459,263.0,408.0,6.0,43.0,13.0,8.0,,,,,,,,,,
AC,2024,210,560,189.0,509.0,19.0,48.0,2.0,3.0,,,,,,,,,,
AC,2025,123,482,121.0,453.0,2.0,28.0,0.0,1.0,,,,,,,,,,
AC,2026,40,120,39.0,106.0,1.0,14.0,0.0,0.0,,,,,,,,,,
AL,2016,160,500,153.0,401.0,7.0,99.0,0.0,0.0,,,,,,,,,,
AL,2017,247,573,228.0,484.0,19.0,89.0,0.0,0.0,,,,,,,,,,
AL,2018,186,591,169.0,503.0,16.0,85.0,1.0,3.0,,,,,,,,,,
AL,2019,207,598,192.0,525.0,15.0,69.0,0.0,4.0,4.45,93866.0,4.72,29.48,21.0,18.02,12.46,7.49,5.73,1.11
AL,2020,165,690,156.0,593.0,9.0,91.0,0.0,6.0,,,,,,,,,,
AL,2021,248,686,232.0,589.0,15.0,91.0,1.0,6.0,4.55,90919.0,3.29,23.22,23.04,21.7,14.65,8.19,5.14,0.77
AL,2022,247,857,238.0,762.0,8.0,89.0,1.0,6.0,,,,,,,,,,
AL,2023,245,928,235.0,810.0,9.0,108.0,1.0,10.0,,,,,,,,,,
AL,2024,303,1019,269.0,859.0,25.0,128.0,9.0,32.0,,,,,,,,,,
AL,2025,206,643,187.0,540.0,17.0,93.0,2.0,10.0,,,,,,,,,,
AL,2026,55,165,50.0,140.0,5.0,23.0,0.0,2.0,,,,,,,,,,
AM,2016,393,673,335.0,533.0,32.0,97.0,26.0,43.0,,,,,,,,,,
AM,2017,364,666,318.0,536.0,36.0,110.0,10.0,20.0,,,,,,,,,,
AM,2018,300,701,280.0,587.0,19.0,109.0,1.0,5.0,,,,,,,,,,
AM,2019,292,709,270.0,609.0,21.0,100.0,1.0,0.0,4.55,143310.0,3.1,27.55,21.76,18.36,12.92,8.0,7.04,1.26
