uf,ano,estupro,estupro_vulneravel,estupro_feminino,estupro_vulneravel_feminino,estupro_masculino,estupro_vulneravel_masculino,estupro_nao_informado,estupro_vulneravel_nao_informado,inse,quantidade_alunos_inse,percentual_nivel_1,percentual_nivel_2,percentual_nivel_3,percentual_nivel_4,percentual_nivel_5,percentual_nivel_6,percentual_nivel_7,percentual_nivel_8,populacao,taxa_estupro_por_100k,taxa_estupro_vulneravel_por_100k
AC,2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,816687.0,0.0,0.0
AC,2017,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,829619.0,0.0,0.0
AC,2018,83,213,75.0,183.0,8.0,28.0,0.0,2.0,,,,,,,,,,,869265.0,9.548296549383675,24.50345981950268
AC,2019,139,238,128.0,209.0,10.0,27.0,1.0,2.0,4.57,28003.0,1.66,28.0,21.69,18.7,14.1,8.36,6.48,1.02,881935.0,15.760798698316771,26.986115756830156
AC,2020,102,300,93.0,262.0,8.0,27.0,1.0,11.0,,,,,,,,,,,894470.0,11.403400896620344,33.539414401824544
AC,2021,145,489,134.0,444.0,9.0,26.0,2.0,19.0,4.63,23143.0,2.24,23.36,21.19,20.75,15.21,9.32,6.79,1.14,906876.0,15.98895549115866,53.92137403570058
AC,2022,297,443,257.0,404.0,16.0,39.0,24.0,0.0,,,,,,,,,,,830018.0,35.782356527207845,53.37233650354571
AC,2023,282,459,263.0,408.0,6.0,43.0,13.0,8.0,,,,,,,,,,,830018.0,33.975166803611486,55.30000554204848
AC,2024,210,560,189.0,509.0,19.0,48.0,2.0,3.0,,,,,,,,,,,880631.0,23.846537312449822,63.590766166532866
AC,2025,123,482,121.0,453.0,2.0,28.0,0.0,1.0,,,,,,,,,,,884372.0,13.908174388153403,54.50195166739789
AC,2026,40,120,39.0,106.0,1.0,14.0,0.0,0.0,,,,,,,,,,,,,
AL,2016,160,500,153.0,401.0,7.0,99.0,0.0,0.0,,,,,,,,,,,3358963.0,4.763374886832633,14.885546521351976
AL,2017,247,573,228.0,484.0,19.0,89.0,0.0,0.0,,,,,,,,,,,3375823.0,7.316734319305248,16.973638724542134
AL,2018,186,591,169.0,503.0,16.0,85.0,1.0,3.0,,,,,,,,,,,3322820.0,5.597655003882244,17.786097351045196
AL,2019,207,598,192.0,525.0,15.0,69.0,0.0,4.0,4.45,93866.0,4.72,29.48,21.0,18.02,12.46,7.49,5.73,1.11,3337357.0,6.202512946622133,17.91837073468616
AL,2020,165,690,156.0,593.0,9.0,91.0,0.0,6.0,,,,,,,,,,,3351543.0,4.92310556660022,20.5875323694191
AL,2021,248,686,232.0,589.0,15.0,91.0,1.0,6.0,4.55,90919.0,3.29,23.22,23.04,21.7,14.65,8.19,5.14,0.77,3365351.0,7.369216465087891,20.384203609073765
AL,2022,247,857,238.0,762.0,8.0,89.0,1.0,6.0,,,,,,,,,,,3127683.0,7.897219763000278,27.400475048142667
AL,2023,245,928,235.0,810.0,9.0,108.0,1.0,10.0,,,,,,,,,,,3127683.0,7.83327466370473,29.67052607313465
AL,2024,303,1019,269.0,859.0,25.0,128.0,9.0,32.0,,,,,,,,,,,3220104.0,9.40963397455486,31.644940660301657
AL,2025,206,643,187.0,540.0,17.0,93.0,2.0,10.0,,,,,,,,,,,3220848.0,6.395831159992649,19.9636865819188
AL,2026,55,165,50.0,140.0,5.0,23.0,0.0,2.0,,,,,,,,,,,,,
AM,2016,393,673,335.0,533.0,32.0,97.0,26.0,43.0,,,,,,,,,,,4001667.0,9.820907136950677,16.817991102208154
AM,2017,364,666,318.0,536.0,36.0,110.0,10.0,20.0,,,,,,,,,,,4063614.0,8.957543703708078,16.389351941399948
AM,2018,300,701,280.0,587.0,19.0,109.0,1.0,5.0,,,,,,,,,,,4080611.0,7.351840202361852,17.17879993951886
AM,2019,292,709,270.0,609.0,21.0,100.0,1.0,0.0,4.55,143310.0,3.1,27.55,21.76,18.36,12.92,8.0,7.04,1.26,4144597.0,7.04531707184076,17.106608917585955
AM,2020,233,665,223.0,587.0,10.0,77.0,0.0,1.0,,,,,,,,,,,4207714.0,5.537448600356393,15.80430609114593
AM,2021,218,549,209.0,482.0,8.0,66.0,1.0,1.0,4.57,142430.0,3.87,24.53,20.8,19.71,14.23,8.89,6.78,1.17,4269995.0,5.105392395073062,12.857157912362895
AM,2022,278,686,264.0,572.0,13.0,113.0,1.0,1.0,,,,,,,,,,,3941613.0,7.052950150103524,17.40404245673028
AM,2023,295,791,267.0,684.0,27.0,103.0,1.0,4.0,,,,,,,,,,,3941613.0,7.484245662879638,20.06792650622981
AM,2024,390,1161,356.0,997.0,29.0,144.0,5.0,20.0,,,,,,,,,,,4281209.0,9.109576290248853,27.11850787943312
AM,2025,416,1353,391.0,1178.0,25.0,133.0,0.0,42.0,,,,,,,,,,,4321616.0,9.626028781826058,31.30773303319869
