ano,sigla_uf,sigla_uf_nome,gini
2012,AC,Acre,0.566
2012,AL,Alagoas,0.503
2012,AM,Amazonas,0.590
2012,AP,Amapá,0.528
2012,BA,Bahia,0.562
2012,CE,Ceará,0.546
2012,DF,Distrito Federal,0.602
2012,ES,Espírito Santo,0.489
2012,GO,Goiás,0.475
2012,MA,Maranhão,0.498
2012,MG,Minas Gerais,0.500
2012,MS,Mato Grosso do Sul,0.476
2012,MT,Mato Grosso,0.488
2012,PA,Pará,0.534
2012,PB,Paraíba,0.517
2012,PE,Pernambuco,0.574
2012,PI,Piauí,0.496
2012,PR,Paraná,0.483
2012,RJ,Rio de Janeiro,0.529
2012,RN,Rio Grande do Norte,0.508
2012,RO,Rondônia,0.488
2012,RR,Roraima,0.549
2012,RS,Rio Grande do Sul,0.495
2012,SC,Santa Catarina,0.436
2012,SE,Sergipe,0.569
2012,SP,São Paulo,0.511
2012,TO,Tocantins,0.508
2013,AC,Acre,0.554
2013,AL,Alagoas,0.510
2013,AM,Amazonas,0.582
2013,AP,Amapá,0.513
2013,BA,Bahia,0.535
2013,CE,Ceará,0.537
2013,DF,Distrito Federal,0.580
2013,ES,Espírito Santo,0.498
2013,GO,Goiás,0.466
2013,MA,Maranhão,0.493
2013,MG,Minas Gerais,0.492
2013,MS,Mato Grosso do Sul,0.472
2013,MT,Mato Grosso,0.456
2013,PA,Pará,0.532
2013,PB,Paraíba,0.514
2013,PE,Pernambuco,0.567
2013,PI,Piauí,0.535
2013,PR,Paraná,0.473
2013,RJ,Rio de Janeiro,0.518
2013,RN,Rio Grande do Norte,0.505
2013,RO,Rondônia,0.475
2013,RR,Roraima,0.556
2013,RS,Rio Grande do Sul,0.477
2013,SC,Santa Catarina,0.429
2013,SE,Sergipe,0.572
2013,SP,São Paulo,0.510
2013,TO,Tocantins,0.515
2014,AC,Acre,0.529
2014,AL,Alagoas,0.527
2014,AM,Amazonas,0.562
2014,AP,Amapá,0.523
2014,BA,Bahia,0.528
2014,CE,Ceará,0.522
2014,DF,Distrito Federal,0.574
2014,ES,Espírito Santo,0.499
2014,GO,Goiás,0.458
2014,MA,Maranhão,0.475
2014,MG,Minas Gerais,0.490
2014,MS,Mato Grosso do Sul,0.473
2014,MT,Mato Grosso,0.460
2014,PA,Pará,0.508
2014,PB,Paraíba,0.525
2014,PE,Pernambuco,0.566
2014,PI,Piauí,0.516
2014,PR,Paraná,0.464
2014,RJ,Rio de Janeiro,0.512
2014,RN,Rio Grande do Norte,0.509
2014,RO,Rondônia,0.443
