"Tabela 7395 - Rendimento médio mensal real domiciliar per capita"
"Variável - Rendimento médio mensal real domiciliar per capita"
"Nível";"Cód.";"Brasil, Grande Região e Unidade da Federação";"Ano"
"Nível";"Cód.";"Brasil, Grande Região e Unidade da Federação";"2016";;"2017";;"2018";;"2019";;"2021";;"2022";;"2023";;"2024"
"BR";"1";"Brasil";"1709";"Reais";"1768";"Reais";"1816";"Reais";"1849";"Reais";"1663";"Reais";"1878";"Reais";"1958";"Reais";"2068";"Reais"
"GR";"1";"Norte";"1050";"Reais";"1136";"Reais";"1152";"Reais";"1154";"Reais";"1103";"Reais";"1304";"Reais";"1360";"Reais";"1427";"Reais"
"GR";"2";"Nordeste";"1072";"Reais";"1123";"Reais";"1140";"Reais";"1157";"Reais";"1037";"Reais";"1175";"Reais";"1229";"Reais";"1340";"Reais"
"GR";"3";"Sudeste";"2085";"Reais";"2127";"Reais";"2213";"Reais";"2268";"Reais";"2014";"Reais";"2244";"Reais";"2357";"Reais";"2456";"Reais"
"GR";"4";"Sul";"2068";"Reais";"2152";"Reais";"2167";"Reais";"2224";"Reais";"2017";"Reais";"2244";"Reais";"2307";"Reais";"2500";"Reais"
"GR";"5";"Centro-Oeste";"1957";"Reais";"2078";"Reais";"2121";"Reais";"2082";"Reais";"1914";"Reais";"2311";"Reais";"2357";"Reais";"2419";"Reais"
"UF";"11";"Rondônia";"1272";"Reais";"1344";"Reais";"1431";"Reais";"1478";"Reais";"1378";"Reais";"1575";"Reais";"1575";"Reais";"1750";"Reais"
"UF";"12";"Acre";"1110";"Reais";"1122";"Reais";"1202";"Reais";"1202";"Reais";"1157";"Reais";"1171";"Reais";"1135";"Reais";"1277";"Reais"
"UF";"13";"Amazonas";"974";"Reais";"1167";"Reais";"1051";"Reais";"1053";"Reais";"948";"Reais";"1154";"Reais";"1233";"Reais";"1268";"Reais"
"UF";"14";"Roraima";"1362";"Reais";"1446";"Reais";"1466";"Reais";"1348";"Reais";"1243";"Reais";"1449";"Reais";"1453";"Reais";"1630";"Reais"
"UF";"15";"Pará";"960";"Reais";"1025";"Reais";"1084";"Reais";"1085";"Reais";"1061";"Reais";"1267";"Reais";"1330";"Reais";"1364";"Reais"
"UF";"16";"Amapá";"1253";"Reais";"1158";"Reais";"1105";"Reais";"1132";"Reais";"1168";"Reais";"1314";"Reais";"1447";"Reais";"1482";"Reais"
"UF";"17";"Tocantins";"1244";"Reais";"1329";"Reais";"1359";"Reais";"1339";"Reais";"1313";"Reais";"1598";"Reais";"1656";"Reais";"1795";"Reais"
"UF";"21";"Maranhão";"782";"Reais";"857";"Reais";"848";"Reais";"857";"Reais";"789";"Reais";"995";"Reais";"1019";"Reais";"1103";"Reais"
"UF";"22";"Piauí";"1061";"Reais";"1042";"Reais";"1100";"Reais";"1062";"Reais";"1116";"Reais";"1320";"Reais";"1341";"Reais";"1427";"Reais"
"UF";"23";"Ceará";"1061";"Reais";"1167";"Reais";"1213";"Reais";"1280";"Reais";"1092";"Reais";"1166";"Reais";"1220";"Reais";"1247";"Reais"
