ano,percentual_nivel_5,percentual_nivel_8,percentual_nivel_1,tipo_localizacao,quantidade_alunos_inse,percentual_nivel_3,sigla_uf,sigla_uf_nome,inse,percentual_nivel_2,percentual_nivel_4,rede,area,percentual_nivel_6,percentual_nivel_7
2019,18.14,0.26,0.45,Rural,5411,26.59,RO,Rondônia,4.62,16.17,29.53,"Total (Federal, Estadual, Municipal e Privada)",Interior,6.26,2.61
2019,23.59,0.65,0.13,Total (Urbana e Rural),576,17.78,RO,Rondônia,5.07,4.24,28.09,Federal,Interior,13.98,11.54
2019,21.66,0,0.29,Rural,270,22.34,RO,Rondônia,4.91,4.86,32.56,Federal,Total (Capital e Interior),9.66,8.63
2019,21.66,0,0.29,Rural,270,22.34,RO,Rondônia,4.91,4.86,32.56,Federal,Interior,9.66,8.63
2019,18.87,0.48,0.38,Total (Urbana e Rural),24339,23.23,RO,Rondônia,4.74,16.27,24.96,Estadual,Interior,9.96,5.85
2019,18.35,0.13,0.48,Rural,668,27.63,RO,Rondônia,4.59,19.58,24.43,Estadual,Total (Capital e Interior),6.53,2.88
2019,21.99,0.22,0.81,Rural,435,27.55,RO,Rondônia,4.62,17,23.27,Estadual,Interior,6.15,3.01
2019,17.07,0.21,0.45,Rural,4570,27.34,RO,Rondônia,4.59,17.5,29.76,Municipal,Interior,5.52,2.15
2019,17,0.18,0.38,Rural,5943,27.62,RO,Rondônia,4.58,18.03,28.71,Total (Estadual e Municipal),Total (Capital e Interior),5.69,2.38
2019,17.53,0.21,0.48,Rural,5005,27.36,RO,Rondônia,4.59,17.45,29.17,Total (Estadual e Municipal),Interior,5.57,2.23
2019,18.67,0.46,0.36,Total (Urbana e Rural),40572,23.86,RO,Rondônia,4.72,16.31,25.71,"Total (Federal, Estadual e Municipal)",Interior,9.32,5.31
2019,20.21,1.1,0.29,Urbana,13375,20.12,RO,Rondônia,4.89,13.78,22.82,"Total (Federal, Estadual e Municipal)",Capital,12.81,8.86
2019,17.22,0.18,0.38,Rural,6213,27.38,RO,Rondônia,4.6,17.43,28.88,"Total (Federal, Estadual e Municipal)",Total (Capital e Interior),5.87,2.66
2019,17.76,0.2,0.47,Rural,5275,27.07,RO,Rondônia,4.61,16.73,29.36,"Total (Federal, Estadual e Municipal)",Interior,5.81,2.6
2019,14.1,1.02,1.66,Total (Urbana e Rural),28003,21.69,AC,Acre,4.57,28,18.7,"Total (Federal, Estadual, Municipal e Privada)",Total (Capital e Interior),8.36,6.48
2019,17.75,1.68,0.69,Total (Urbana e Rural),12806,19.73,AC,Acre,4.82,19.13,20.34,"Total (Federal, Estadual, Municipal e Privada)",Capital,11.14,9.53
2019,10.87,0.44,2.51,Total (Urbana e Rural),15197,23.42,AC,Acre,4.34,35.83,17.25,"Total (Federal, Estadual, Municipal e Privada)",Interior,5.9,3.79
2019,15.14,1.19,1.18,Urbana,23833,21.15,AC,Acre,4.64,25.45,19.26,"Total (Federal, Estadual, Municipal e Privada)",Total (Capital e Interior),9.27,7.35
2019,18.3,1.81,0.64,Urbana,11835,19.18,AC,Acre,4.86,17.77,20.52,"Total (Federal, Estadual, Municipal e Privada)",Capital,11.66,10.12
2019,11.83,0.53,1.76,Urbana,11998,23.22,AC,Acre,4.42,33.52,17.94,"Total (Federal, Estadual, Municipal e Privada)",Interior,6.76,4.44
2019,8.21,0.11,4.29,Rural,4170,24.74,AC,Acre,4.13,42.3,15.52,"Total (Federal, Estadual, Municipal e Privada)",Total (Capital e Interior),3.24,1.58
2019,10.74,0.08,1.34,Rural,971,26.85,AC,Acre,4.29,36.47,18.03,"Total (Federal, Estadual, Municipal e Privada)",Capital,4.53,1.96
2019,7.47,0.12,5.15,Rural,3199,24.12,AC,Acre,4.09,44,14.8,"Total (Federal, Estadual, Municipal e Privada)",Interior,2.87,1.46
2019,23.18,1.12,0.21,Total (Urbana e Rural),362,10.6,AC,Acre,4.97,16.28,22.25,Federal,Total (Capital e Interior),16.36,9.99
2019,23.18,1.12,0.21,Urbana,362,10.6,AC,Acre,4.97,16.28,22.25,Federal,Total (Capital e Interior),16.36,9.99
2019,14.86,0.54,1.25,Total (Urbana e Rural),19946,22.41,AC,Acre,4.54,27.51,20.22,Estadual,Total (Capital e Interior),8.06,5.15
2019,17.54,0.69,0.85,Total (Urbana e Rural),10459,21.65,AC,Acre,4.68,21.55,22.11,Estadual,Capital,9.45,6.16
2019,11.99,0.37,1.69,Total (Urbana e Rural),9487,23.22,AC,Acre,4.4,33.91,18.19,Estadual,Interior,6.56,4.07
2019,15.8,0.61,1.11,Urbana,17350,21.87,AC,Acre,4.6,25.45,20.68,Estadual,Total (Capital e Interior),8.78,5.71
2019,18.16,0.75,0.78,Urbana,9701,21.28,AC,Acre,4.71,20.25,22.45,Estadual,Capital,9.84,6.5
2019,12.86,0.44,1.52,Urbana,7649,22.62,AC,Acre,4.46,31.92,18.46,Estadual,Interior,7.46,4.71
2019,8.89,0.07,2.16,Rural,2596,25.82,AC,Acre,4.2,40.65,17.3,Estadual,Total (Capital e Interior),3.47,1.64
